id,name,emoji,group,rarity
062,タコ,🐙,海・川,COMMON
063,イカ,🦑,海・川,COMMON
064,クラゲ,🪼,海・川,COMMON
065,カニ,🦀,海・川,COMMON
066,エビ,🦐,海・川,COMMON
067,ロブスター,🦞,海・川,COMMON
068,フグ,🐡,海・川,COMMON
069,熱帯魚,🐠,海・川,COMMON
070,魚,🐟,海・川,COMMON
071,コイ,🎏,海・川,RARE
072,貝,🐚,海・川,RARE
073,サンゴ,🪸,海・川,RARE
074,カメ,🐢,海・川,RARE
075,ワニ,🐊,海・川,RARE
076,カエル,🐸,海・川,RARE
077,チョウ,🦋,虫・小さな生き物,RARE
078,ミツバチ,🐝,虫・小さな生き物,RARE
079,テントウムシ,🐞,虫・小さな生き物,RARE
080,カブトムシ,🪲,虫・小さな生き物,RARE
081,コオロギ,🦗,虫・小さな生き物,RARE
082,ゴキブリ,🪳,虫・小さな生き物,RARE
083,クモ,🕷️,虫・小さな生き物,RARE
084,サソリ,🦂,虫・小さな生き物,RARE
085,カタツムリ,🐌,虫・小さな生き物,RARE
086,ミミズ,🪱,虫・小さな生き物,RARE
087,アリ,🐜,虫・小さな生き物,RARE
088,ハエ,🪰,虫・小さな生き物,RARE
089,蚊,🦟,虫・小さな生き物,RARE
090,微生物,🦠,虫・小さな生き物,RARE
091,ヘビ,🐍,は虫類・両生類,RARE
092,トカゲ,🦎,は虫類・両生類,RARE
093,恐竜,🦖,は虫類・両生類,RARE
094,トリケラトプス,🦕,は虫類・両生類,RARE
095,ドラゴン,🐉,は虫類・両生類,RARE
096,ドラゴンの顔,🐲,は虫類・両生類,RARE
097,ユニコーン,🦄,ふしぎな仲間,SUPER RARE
098,フェニックス,🔥,ふしぎな仲間,SUPER RARE
099,雪男,☃️,ふしぎな仲間,SUPER RARE
100,宇宙生物,👾,ふしぎな仲間,SUPER RARE
101,金のライオン,🦁,ふしぎな仲間,SUPER RARE
102,銀のオオカミ,🐺,ふしぎな仲間,SUPER RARE
103,虹色のイルカ,🐬,ふしぎな仲間,SUPER RARE
104,王さまペンギン,🐧,ふしぎな仲間,SUPER RARE
105,星のパンダ,🐼,ふしぎな仲間,SUPER RARE
106,月のフクロウ,🦉,ふしぎな仲間,SUPER RARE
107,火山のドラゴン,🐉,ふしぎな仲間,SUPER RARE
108,深海のクラーケン,🐙,ふしぎな仲間,SUPER RARE
109,古代マンモス,🦣,ふしぎな仲間,SUPER RARE
110,天空のワシ,🦅,ふしぎな仲間,SUPER RARE
111,幻のホワイトタイガー,🐯,ふしぎな仲間,SUPER RARE
112,森の精霊キツネ,🦊,ふしぎな仲間,SUPER RARE
113,黄金カブト,🪲,ふしぎな仲間,LEGEND
114,七色チョウ,🦋,ふしぎな仲間,LEGEND
115,キングシャーク,🦈,ふしぎな仲間,LEGEND
116,皇帝クジラ,🐋,ふしぎな仲間,LEGEND
117,神秘のカメ,🐢,ふしぎな仲間,LEGEND
118,雷ゴリラ,🦍,ふしぎな仲間,LEGEND
119,伝説のユニコーン,🦄,ふしぎな仲間,LEGEND
120,伝説のドラゴン,🐲,ふしぎな仲間,LEGEND
